commence_time,bookmaker,last_update,home_team,away_team,market,description,point,Over Price,Under Price,Over %,Under %,No-Vig Over %,No-Vig Under %,True Point,Average Line,Average Over %,Average Under %,Average No-Vig Over %,Average No-Vig Under %,Percent Difference,Max No-Vig %,Bet Tag,Projection,Projection vs Point,% Edge,Correlates,Max No-Vig Diff,Adjusted % Edge,Prop Type,Player Image,Game Start Time,Fav,Spread,O/U,Game Short Title,Scheduled At,Match Progress,Venue Name,Venue Type,Broadcasts,Max No-Vig % Price,True Price,Date,True Point Average Line,Bookmaker Logo
2026-06-25T16:36:00Z,hardrockbet,2026-06-25T19:08:02Z,Pittsburgh Pirates,Seattle Mariners,batter_doubles,Julio Rodriguez,0.5,1200,-5000,7.69,98.04,7.28,92.72,0.5,0.5,7.18,97.41,6.86,93.14,-4.9,93.14,Under,0.5,0,50,No,-4.90,93.14,Standard,https://www.freeiconspng.com/img/1934,,,,8.3,,,,,,,-1358,-1358,,0.0686,
2026-06-25T16:36:00Z,hardrockbet,2026-06-25T19:08:02Z,Pittsburgh Pirates,Seattle Mariners,batter_hits,Julio Rodriguez,1.5,275,-450,26.67,81.82,24.58,75.42,1.5,1.5,26.09,82.03,24.12,75.88,-5.94,75.88,Under,1.5,0,50,No,-5.94,75.88,Standard,https://www.freeiconspng.com/img/1934,,,,8.3,,,,,,,-315,-315,,0.7236,
2026-06-25T16:36:00Z,hardrockbet,2026-06-25T19:08:02Z,Pittsburgh Pirates,Seattle Mariners,batter_hits_runs_rbis,Julio Rodriguez,1.5,260,-375,27.78,78.95,26.03,73.97,1.5,1.5,27.05,79.47,25.39,74.61,-4.34,74.61,Under,1.5,0,50,No,-4.34,74.61,Standard,https://www.freeiconspng.com/img/1934,,,,8.3,,,,,,,-294,-294,,0.7617,
2026-06-25T16:36:00Z,hardrockbet,2026-06-25T19:08:02Z,Pittsburgh Pirates,Seattle Mariners,batter_home_runs,Julio Rodriguez,0.5,1400,,6.67,,,,0.5,0.5,11.85,94.32,11.12,88.88,,88.88,Under,0.5,0,50,No,,88.88,Non-Standard,https://www.freeiconspng.com/img/1934,,,,8.3,,,,,,,-799,-799,,0.1112,
2026-06-25T16:36:00Z,hardrockbet,2026-06-25T19:09:06Z,Pittsburgh Pirates,Seattle Mariners,batter_rbis,Julio Rodriguez,0.5,1100,-5000,8.33,98.04,7.83,92.17,0.5,0.5,8.33,98.04,7.83,92.17,-5.87,92.17,Under,0.5,0,50,No,-5.87,92.17,Standard,https://www.freeiconspng.com/img/1934,,,,8.3,,,,,,,-1177,-1177,,0.0783,
2026-06-25T16:36:00Z,hardrockbet,2026-06-25T19:08:02Z,Pittsburgh Pirates,Seattle Mariners,batter_runs_scored,Julio Rodriguez,0.5,700,-1800,12.5,94.74,11.66,88.34,0.5,0.5,12.91,93.8,12.11,87.89,-6.85,87.89,Under,0.5,0,50,No,-6.85,87.89,Standard,https://www.freeiconspng.com/img/1934,,,,8.3,,,,,,,-726,-726,,0.1211,
2026-06-25T16:36:00Z,hardrockbet,2026-06-25T19:08:02Z,Pittsburgh Pirates,Seattle Mariners,batter_singles,Julio Rodriguez,1.5,450,-900,18.18,90,16.81,83.19,1.5,1.5,18.18,88.75,17,83,-7,83,Under,1.5,0,50,No,-7.00,83,Standard,https://www.freeiconspng.com/img/1934,,,,8.3,,,,,,,-488,-488,,0.51,
2026-06-25T16:36:00Z,hardrockbet,2026-06-25T19:08:02Z,Pittsburgh Pirates,Seattle Mariners,batter_total_bases,Julio Rodriguez,1.5,275,-450,26.67,81.82,24.58,75.42,1.5,1.5,31.09,76.76,28.85,71.15,-10.67,71.15,Under,1.5,0,50,No,-10.67,71.15,Standard,https://www.freeiconspng.com/img/1934,,,,8.3,,,,,,,-247,-247,,0.8655,
2026-06-25T16:36:00Z,hardrockbet,2026-06-25T19:08:02Z,Pittsburgh Pirates,Seattle Mariners,batter_walks,Julio Rodriguez,0.5,650,-1600,13.33,94.12,12.41,87.59,0.5,0.5,13.33,94.12,12.41,87.59,-6.53,87.59,Under,0.5,0,50,No,-6.53,87.59,Standard,https://www.freeiconspng.com/img/1934,,,,8.3,,,,,,,-706,-706,,0.1241,
2026-06-25T16:36:00Z,hardrockbet_oh,2026-06-25T19:08:34Z,Pittsburgh Pirates,Seattle Mariners,batter_doubles,Julio Rodriguez,0.5,1400,-3000,6.67,96.77,6.44,93.56,0.5,0.5,7.18,97.41,6.86,93.14,-3.63,93.14,Under,0.5,0,50,No,-3.63,93.14,Standard,https://www.freeiconspng.com/img/1934,,,,8.3,,,,,,,-1358,-1358,,0.0686,
